14054,0,416836,0,0,0,55,497,254,352,488,1298,1500,332,107,79159,690,1480,3600,2337,1951,6615,10260,17770,14358,20576,22493,34205,18123,33038,68816,38403,107277,165333,2406919,11857,0,0,0,0
6016,0,422616,0,0,20,820,1570,1817,2617,4757,2561,2243,1434,1455,73466,2833,2695,5919,3227,3693,7943,11911,20428,15765,23822,21723,32030,21504,33449,65416,43989,103331,160448,2387073,12442,0,0,0,0
4507,0,427005,0,4,28,1065,1915,2024,3010,5071,3054,3020,1944,18987,52857,3368,2758,6315,3679,4087,8143,12537,20047,15834,23406,21291,31566,21826,32805,64261,45615,102703,161867,2380719,13715,0,0,0,0
2647,0,433627,0,15,94,1238,3218,2055,3619,4788,3129,3898,2487,30020,39108,3451,2673,6641,3919,4010,8784,13894,19696,15049,23116,20113,30230,22449,32421,62074,47567,102846,161843,2376774,13540,0,0,0,0
4321,0,442037,0,14,188,1480,3384,2205,3265,4179,2601,4463,2624,30963,35721,3434,2175,5267,3563,3641,9084,14191,17970,14147,21918,18572,27275,20978,31482,58917,47091,103230,160796,2386747,13110,0,0,0,0
6193,0,466816,0,8,228,1978,4239,2481,3706,4384,3041,5062,3422,24088,28581,4052,3580,6168,4653,5566,10605,17265,17359,16413,25660,19490,27029,23587,36293,58332,50065,97570,147014,2361645,14460,0,0,0,0
8577,0,470498,0,6,235,1263,2758,2012,2363,3492,3195,3743,2847,25362,30982,3747,3555,6397,4191,5379,9275,15917,19047,16530,23620,21466,29571,23353,38708,60456,52704,96605,188761,2309546,14872,0,0,0,0
8233,0,477310,0,5,296,1119,2355,1818,2099,3177,3451,3012,2520,25545,31976,3682,3795,6628,3886,5475,8860,15354,19915,16439,23427,22715,29819,24763,40183,61206,57801,95219,214494,2269501,14955,0,0,0,0
8501,0,487447,0,4,273,1063,2149,1760,2149,3145,3595,2913,2477,26172,32085,3634,3857,6841,3747,5384,8677,15246,20204,16490,22993,22974,29719,24445,40390,61993,60062,95096,216988,2252655,15905,0,0,0,0
8864,0,503763,0,111,1441,5551,7690,6240,8452,9578,5420,4685,4810,26761,31992,6615,5511,8999,5901,7799,10609,15126,21312,17056,23739,23970,28939,25837,42041,60592,64042,88994,213032,2187939,17622,0,0,0,0
9685,0,535142,0,296,1392,1959,3381,2045,2689,3539,3226,4074,2631,21094,25294,2989,2887,5675,4128,4970,9395,16889,16658,16824,23689,21556,26366,25687,41439,59632,59826,107187,221921,2200349,16519,0,0,0,0
